match_id,date,team_1,team_2,winner,result,venue,city,toss_winner,toss_decision,by_runs,by_wickets
1383090,2023-07-22,Vanuatu,Papua New Guinea,Papua New Guinea,,"Amini Park, Port Moresby",Port Moresby,Vanuatu,bat,,9.0
1383091,2023-07-23,Japan,Vanuatu,Japan,,"Amini Park, Port Moresby",Port Moresby,Vanuatu,field,21.0,
1383076,2023-07-23,Denmark,Germany,Germany,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Denmark,bat,,6.0
1383077,2023-07-24,Scotland,Italy,Scotland,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Italy,field,155.0,
1383078,2023-07-24,Austria,Denmark,Denmark,,"Goldenacre, Edinburgh",Edinburgh,Denmark,field,,8.0
1383079,2023-07-24,Jersey,Ireland,Ireland,,"Goldenacre, Edinburgh",Edinburgh,Ireland,field,,9.0
1383093,2023-07-25,Vanuatu,Philippines,Philippines,,"Amini Park, Port Moresby",Port Moresby,Vanuatu,bat,,6.0
1383094,2023-07-25,Japan,Papua New Guinea,Papua New Guinea,,"Amini Park, Port Moresby",Port Moresby,Japan,bat,,6.0
1383080,2023-07-25,Italy,Denmark,Italy,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Denmark,field,26.0,
1383081,2023-07-25,Scotland,Austria,Scotland,,"Goldenacre, Edinburgh",Edinburgh,Austria,field,166.0,
1383082,2023-07-25,Jersey,Germany,Jersey,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Germany,field,51.0,
1383095,2023-07-26,Papua New Guinea,Vanuatu,Papua New Guinea,,"Amini Park, Port Moresby",Port Moresby,Papua New Guinea,bat,39.0,
1383096,2023-07-26,Japan,Philippines,Japan,,"Amini Park, Port Moresby",Port Moresby,Japan,bat,33.0,
1383102,2023-07-26,Bhutan,Myanmar,Bhutan,,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Bhutan,bat,31.0,
1383083,2023-07-27,Scotland,Denmark,Scotland,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Denmark,field,33.0,
1383086,2023-07-28,Germany,Italy,Italy,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Italy,field,,4.0
1383087,2023-07-28,Jersey,Denmark,Jersey,,"Goldenacre, Edinburgh",Edinburgh,Denmark,field,28.0,
1383088,2023-07-28,Scotland,Ireland,Scotland,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Ireland,field,8.0,
1383098,2023-07-28,Papua New Guinea,Philippines,Papua New Guinea,,"Amini Park, Port Moresby",Port Moresby,Philippines,field,100.0,
1383097,2023-07-28,Japan,Vanuatu,Vanuatu,,"Amini Park, Port Moresby",Port Moresby,Vanuatu,field,,5.0
1383099,2023-07-29,Philippines,Vanuatu,Vanuatu,,"Amini Park, Port Moresby",Port Moresby,Philippines,bat,,3.0
1383100,2023-07-29,Japan,Papua New Guinea,Papua New Guinea,,"Amini Park, Port Moresby",Port Moresby,Japan,bat,,6.0
1383106,2023-07-30,Bhutan,China,Bhutan,,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Bhutan,bat,95.0,
1383109,2023-07-31,Myanmar,China,China,,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,China,field,,5.0
1381217,2023-08-03,West Indies,India,West Indies,,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,West Indies,bat,4.0,
1390167,2023-08-05,Hungary,Croatia,Hungary,,"GB Oval, Szodliget",Szodliget,Hungary,bat,145.0,
1381218,2023-08-06,India,West Indies,West Indies,,"Providence Stadium, Guyana",Providence,India,bat,,2.0
1390169,2023-08-06,Croatia,Hungary,Hungary,,"GB Oval, Szodliget",Szodliget,Croatia,bat,,7.0
1381219,2023-08-08,West Indies,India,India,,"Providence Stadium, Guyana",Providence,West Indies,bat,,7.0
1381220,2023-08-12,West Indies,India,India,,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,West Indies,bat,,9.0
1381221,2023-08-13,India,West Indies,West Indies,,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,India,bat,,8.0
1384634,2023-08-18,Ireland,India,India,,"Malahide, Dublin",Dublin,India,field,2.0,
1391332,2023-08-18,Romania,Malta,Malta,,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,bat,,8.0
1391333,2023-08-19,Romania,Malta,Malta,,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,bat,,4.0
1384637,2023-08-20,India,Ireland,India,,"Malahide, Dublin",Dublin,Ireland,field,33.0,
1391335,2023-08-19,Malta,Romania,Romania,,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,field,,3.0
1391336,2023-08-20,Malta,Romania,Romania,,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,field,,9.0
1391337,2023-08-20,Romania,Malta,Romania,,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Malta,field,6.0,
1393309,2023-08-20,Uganda,Rwanda,Uganda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,bat,40.0,
