match_id,date,team_1,team_2,elo_team_1,elo_team_2,elo_diff
1482828,2025-05-06,Malta,Estonia,1397.4673942107263,1484.0182452752672,-86.5508510645409
1482829,2025-05-06,Malta,Estonia,1409.9082446135783,1471.5773948724152,-61.66915025883691
1482819,2025-05-07,Thailand,Cook Islands,1441.4151523523735,1521.3507040448612,-79.9355516924877
1482830,2025-05-07,Malta,Estonia,1401.664816800901,1479.8208226850925,-78.15600588419147
1482820,2025-05-08,Japan,Thailand,1582.589101325168,1433.6761286842702,148.9129726408978
1482821,2025-05-09,Cook Islands,Thailand,1529.0897277129645,1427.7176852360012,101.37204247696332
1482822,2025-05-09,Japan,Cook Islands,1588.547544773437,1516.2520764976762,72.29546827576087
1482825,2025-05-11,Japan,Thailand,1596.4962350782926,1440.5553364512896,155.94089862700298
1482826,2025-05-13,Cook Islands,Japan,1508.3033861928207,1582.286834390654,-73.98344819783324
1482827,2025-05-14,Japan,Cook Islands,1590.1890317798454,1500.401188803629,89.78784297621633
1484051,2025-05-17,Bangladesh,United Arab Emirates,1554.3953254086548,1639.5408773051656,-85.14555189651082
1486225,2025-05-17,Austria,Slovenia,1541.8079372958305,1451.4828397780793,90.32509751775115
1486227,2025-05-18,Slovenia,Austria,1444.025575569293,1549.2652015046167,-105.2396259353236
1486228,2025-05-18,Austria,Slovenia,1556.3255224104878,1436.965254663422,119.36026774706579
1484052,2025-05-19,Bangladesh,United Arab Emirates,1566.798100443846,1627.1381022699745,-60.34000182612863
1486582,2025-05-21,Bangladesh,United Arab Emirates,1558.5175723192942,1635.4186303945262,-76.90105807523196
1483785,2025-05-28,Pakistan,Bangladesh,1541.7605840691424,1550.6955118602446,-8.934927791102155
1485346,2025-05-30,Malta,Belgium,1413.8771361101487,1544.1739852130038,-130.29684910285505
1485345,2025-05-30,Malta,Portugal,1407.4609234372222,1557.3686989987643,-149.90777556154217
1485343,2025-05-30,Belgium,Portugal,1550.5901978859304,1563.3032143938867,-12.713016507956354
1483786,2025-05-30,Pakistan,Bangladesh,1552.017695285429,1540.438400643958,11.579294641471051
1483788,2025-05-30,Austria,Switzerland,1563.0191239400901,1542.847271623308,20.17185231678218
1483789,2025-05-31,Austria,Switzerland,1572.4391828499445,1533.4272127134536,39.011970136490845
1485344,2025-05-31,Belgium,Portugal,1540.955944696243,1572.937467583574,-31.98152288733104
1485347,2025-05-31,Malta,Portugal,1401.5264080420998,1582.0195564585852,-180.49314841648538
1485348,2025-05-31,Belgium,Malta,1531.873855821232,1396.2995562682365,135.5742995529954
1486784,2025-05-31,Austria,Switzerland,1581.3210234056432,1524.5453721577549,56.77565124788839
1483787,2025-06-01,Bangladesh,Pakistan,1530.7715561928107,1561.6845397365762,-30.91298354376545
1486224,2025-06-01,Belgium,Portugal,1538.1584070768808,1587.2464082324484,-49.088001155567554
1486785,2025-06-01,Austria,Switzerland,1569.7012810451,1536.1651145182982,33.53616652680171
1448346,2025-06-06,England,West Indies,1628.3322057168511,1555.657492915101,72.67471280175005
1487813,2025-06-06,Jersey,Guernsey,1585.9019477775437,1552.2946987101925,33.60724906735118
1486790,2025-06-07,Slovenia,Serbia,1430.2716531338197,1398.0573857464374,32.21426738738228
1487814,2025-06-07,Guernsey,Jersey,1563.2589874854382,1574.937659002298,-11.678671516859822
1487815,2025-06-07,Jersey,Guernsey,1584.6016463590686,1553.5950001286676,31.006646230400975
1483731,2025-06-08,Czech Republic,Austria,1514.7937047662406,1578.7390192057476,-63.945314439507
1483732,2025-06-08,Norway,Czech Republic,1508.1745294841455,1506.613694895038,1.5608345891075714
1448347,2025-06-08,West Indies,England,1547.7192564885743,1636.270442143378,-88.5511856548037
1486791,2025-06-08,Serbia,Slovenia,1408.981938944694,1419.347099935563,-10.365160990868844
1483733,2025-06-09,Norway,Austria,1518.1296053556466,1586.9190290769502,-68.78942372130359
1483734,2025-06-09,Austria,Czech Republic,1574.9645824259615,1496.6586190235369,78.3059634024246
1483735,2025-06-10,Norway,Czech Republic,1530.0840520066354,1488.8750428184117,41.20900918822372
1483736,2025-06-10,Norway,Austria,1538.9034922745675,1582.7481586310867,-43.844666356519156
1448348,2025-06-10,England,West Indies,1643.7755241922632,1540.214174439689,103.56134975257419
1488319,2025-06-11,Indonesia,Cambodia,1446.2676718242074,1443.6289807789585,2.6386910452488337
1488320,2025-06-12,Indonesia,Cambodia,1436.1917256510817,1453.7049269520842,-17.513201301002482
1488321,2025-06-12,Indonesia,Cambodia,1426.6953696117528,1463.201282991413,-36.50591337966034
1489582,2025-06-12,Bermuda,Cayman Islands,1591.9383738157032,1474.7784398340148,117.15993398168848
1489581,2025-06-12,Canada,Bahamas,1547.7756156792602,1463.8880377870587,83.88757789220153
1488338,2025-06-13,Denmark,Finland,1474.597473682437,1465.573957433895,9.023516248542137
1489585,2025-06-13,Canada,Cayman Islands,1555.406987232102,1468.028313485786,87.37867374631605
1489584,2025-06-13,Bermuda,Bahamas,1598.688500163932,1456.256666234217,142.43183392971514
1488339,2025-06-14,Finland,Norway,1455.8336167286282,1530.1587866724612,-74.32516994383309
1488340,2025-06-14,Denmark,Sweden,1484.337814387704,1490.847957054546,-6.510142666842057
